Test: [0/167]	Time 32.002 (32.002)	Loss 46.5312 (46.5312)	Acc@1 0.000 (0.000)	Acc@5 0.000 (0.000)
 * Acc@1 0.098 Acc@5 0.584
Epoch: [0][0/4271]	Time 52.467 (52.467)	Data 42.173 (42.173)	Loss 8.9717 (8.9717)	Entropy Loss 8.9513 (8.9513)	KLCD_Loss 0.0204 (0.0204)	Learning Rate 0.12000000	Acc@1 1.000 (1.000)	Acc@5 4.333 (4.333)
Epoch: [0][200/4271]	Time 1.535 (1.795)	Data 0.000 (0.210)	Loss 7.0553 (7.2925)	Entropy Loss 6.9911 (7.2337)	KLCD_Loss 0.0642 (0.0588)	Learning Rate 0.11999992	Acc@1 0.000 (0.111)	Acc@5 0.000 (0.559)
Epoch: [0][400/4271]	Time 1.505 (1.664)	Data 0.000 (0.105)	Loss 7.0242 (7.1637)	Entropy Loss 6.9632 (7.1030)	KLCD_Loss 0.0610 (0.0607)	Learning Rate 0.11999968	Acc@1 0.000 (0.104)	Acc@5 0.333 (0.527)
Epoch: [0][600/4271]	Time 1.504 (1.617)	Data 0.000 (0.070)	Loss 6.9757 (7.1060)	Entropy Loss 6.9181 (7.0458)	KLCD_Loss 0.0576 (0.0602)	Learning Rate 0.11999928	Acc@1 0.000 (0.115)	Acc@5 1.000 (0.539)
Epoch: [0][800/4271]	Time 1.504 (1.594)	Data 0.000 (0.053)	Loss 6.9804 (7.0724)	Entropy Loss 6.9260 (7.0132)	KLCD_Loss 0.0544 (0.0591)	Learning Rate 0.11999872	Acc@1 0.000 (0.119)	Acc@5 0.333 (0.557)
Epoch: [0][1000/4271]	Time 1.568 (1.581)	Data 0.000 (0.042)	Loss 6.9369 (7.0459)	Entropy Loss 6.8856 (6.9880)	KLCD_Loss 0.0514 (0.0579)	Learning Rate 0.11999800	Acc@1 0.333 (0.132)	Acc@5 0.333 (0.618)
Epoch: [0][1200/4271]	Time 1.602 (1.571)	Data 0.000 (0.035)	Loss 6.7611 (7.0135)	Entropy Loss 6.7126 (6.9570)	KLCD_Loss 0.0486 (0.0566)	Learning Rate 0.11999711	Acc@1 0.667 (0.165)	Acc@5 2.000 (0.734)
Epoch: [0][1400/4271]	Time 1.508 (1.564)	Data 0.000 (0.030)	Loss 6.7452 (6.9767)	Entropy Loss 6.6993 (6.9215)	KLCD_Loss 0.0459 (0.0552)	Learning Rate 0.11999607	Acc@1 0.333 (0.202)	Acc@5 1.667 (0.897)
Epoch: [0][1600/4271]	Time 1.565 (1.559)	Data 0.000 (0.027)	Loss 6.5465 (6.9365)	Entropy Loss 6.5028 (6.8825)	KLCD_Loss 0.0437 (0.0539)	Learning Rate 0.11999487	Acc@1 0.667 (0.254)	Acc@5 3.000 (1.105)
Epoch: [0][1800/4271]	Time 1.508 (1.555)	Data 0.000 (0.024)	Loss 6.3927 (6.8881)	Entropy Loss 6.3510 (6.8354)	KLCD_Loss 0.0417 (0.0527)	Learning Rate 0.11999351	Acc@1 0.667 (0.331)	Acc@5 5.000 (1.410)
Epoch: [0][2000/4271]	Time 1.505 (1.552)	Data 0.000 (0.021)	Loss 6.2142 (6.8306)	Entropy Loss 6.1739 (6.7791)	KLCD_Loss 0.0402 (0.0515)	Learning Rate 0.11999198	Acc@1 1.333 (0.451)	Acc@5 7.667 (1.849)
Epoch: [0][2200/4271]	Time 1.584 (1.549)	Data 0.000 (0.019)	Loss 6.0697 (6.7638)	Entropy Loss 6.0306 (6.7134)	KLCD_Loss 0.0391 (0.0504)	Learning Rate 0.11999030	Acc@1 2.667 (0.644)	Acc@5 8.667 (2.475)
Epoch: [0][2400/4271]	Time 1.520 (1.547)	Data 0.000 (0.018)	Loss 5.7759 (6.6874)	Entropy Loss 5.7376 (6.6380)	KLCD_Loss 0.0384 (0.0494)	Learning Rate 0.11998846	Acc@1 4.000 (0.894)	Acc@5 14.333 (3.234)
Epoch: [0][2600/4271]	Time 1.499 (1.545)	Data 0.001 (0.016)	Loss 5.5659 (6.6055)	Entropy Loss 5.5280 (6.5569)	KLCD_Loss 0.0379 (0.0486)	Learning Rate 0.11998645	Acc@1 6.000 (1.234)	Acc@5 19.000 (4.153)
Epoch: [0][2800/4271]	Time 1.598 (1.544)	Data 0.000 (0.015)	Loss 5.5343 (6.5210)	Entropy Loss 5.4966 (6.4732)	KLCD_Loss 0.0377 (0.0478)	Learning Rate 0.11998429	Acc@1 5.333 (1.618)	Acc@5 17.000 (5.162)
Epoch: [0][3000/4271]	Time 1.504 (1.543)	Data 0.000 (0.014)	Loss 5.0907 (6.4348)	Entropy Loss 5.0530 (6.3876)	KLCD_Loss 0.0377 (0.0471)	Learning Rate 0.11998196	Acc@1 7.333 (2.074)	Acc@5 23.333 (6.272)
Epoch: [0][3200/4271]	Time 1.503 (1.542)	Data 0.000 (0.013)	Loss 5.1193 (6.3504)	Entropy Loss 5.0815 (6.3038)	KLCD_Loss 0.0378 (0.0465)	Learning Rate 0.11997948	Acc@1 9.000 (2.563)	Acc@5 23.333 (7.416)
Epoch: [0][3400/4271]	Time 1.574 (1.543)	Data 0.000 (0.013)	Loss 4.7953 (6.2669)	Entropy Loss 4.7572 (6.2209)	KLCD_Loss 0.0380 (0.0460)	Learning Rate 0.11997683	Acc@1 13.000 (3.082)	Acc@5 32.333 (8.571)
Epoch: [0][3600/4271]	Time 1.521 (1.543)	Data 0.000 (0.012)	Loss 4.6141 (6.1845)	Entropy Loss 4.5757 (6.1389)	KLCD_Loss 0.0384 (0.0456)	Learning Rate 0.11997403	Acc@1 16.000 (3.644)	Acc@5 31.667 (9.752)
Epoch: [0][3800/4271]	Time 1.507 (1.544)	Data 0.000 (0.011)	Loss 4.6205 (6.1033)	Entropy Loss 4.5815 (6.0580)	KLCD_Loss 0.0390 (0.0452)	Learning Rate 0.11997106	Acc@1 16.333 (4.225)	Acc@5 32.333 (10.942)
Epoch: [0][4000/4271]	Time 1.662 (1.545)	Data 0.000 (0.011)	Loss 4.6982 (6.0238)	Entropy Loss 4.6587 (5.9789)	KLCD_Loss 0.0396 (0.0449)	Learning Rate 0.11996793	Acc@1 12.667 (4.820)	Acc@5 30.667 (12.144)
Epoch: [0][4200/4271]	Time 1.521 (1.545)	Data 0.000 (0.010)	Loss 4.2071 (5.9452)	Entropy Loss 4.1669 (5.9005)	KLCD_Loss 0.0402 (0.0447)	Learning Rate 0.11996465	Acc@1 19.000 (5.431)	Acc@5 39.333 (13.347)
Test: [0/167]	Time 20.908 (20.908)	Loss 3.0247 (3.0247)	Acc@1 37.667 (37.667)	Acc@5 66.000 (66.000)
 * Acc@1 21.988 Acc@5 44.202
Epoch: [1][0/4271]	Time 44.533 (44.533)	Data 41.123 (41.123)	Loss 4.1235 (4.1235)	Entropy Loss 4.0831 (4.0831)	KLCD_Loss 0.0404 (0.0404)	Learning Rate 0.11996345	Acc@1 24.333 (24.333)	Acc@5 43.000 (43.000)
Epoch: [1][200/4271]	Time 1.585 (1.764)	Data 0.000 (0.205)	Loss 4.3801 (4.2116)	Entropy Loss 4.3391 (4.1709)	KLCD_Loss 0.0411 (0.0407)	Learning Rate 0.11995995	Acc@1 17.000 (19.972)	Acc@5 39.333 (40.348)
Epoch: [1][400/4271]	Time 1.568 (1.653)	Data 0.000 (0.103)	Loss 4.2075 (4.1575)	Entropy Loss 4.1658 (4.1164)	KLCD_Loss 0.0417 (0.0411)	Learning Rate 0.11995628	Acc@1 23.000 (20.839)	Acc@5 43.667 (41.307)
Epoch: [1][600/4271]	Time 1.537 (1.614)	Data 0.000 (0.069)	Loss 3.8853 (4.1031)	Entropy Loss 3.8430 (4.0617)	KLCD_Loss 0.0424 (0.0414)	Learning Rate 0.11995246	Acc@1 25.333 (21.496)	Acc@5 45.667 (42.406)
Epoch: [1][800/4271]	Time 1.521 (1.592)	Data 0.000 (0.052)	Loss 3.8922 (4.0502)	Entropy Loss 3.8492 (4.0085)	KLCD_Loss 0.0430 (0.0417)	Learning Rate 0.11994848	Acc@1 22.000 (22.213)	Acc@5 46.333 (43.470)
